ImageId,Label
1,2
2,5
3,9
4,9
5,3
6,6
7,1
8,0
9,5
10,1
11,0
12,2
13,5
14,5
15,5
16,7
17,3
18,0
19,3
20,7
21,4
22,6
23,1
24,4
25,8
26,1
27,4
28,2
29,7
30,3
31,5
32,2
33,0
34,5
35,4
36,6
37,6
38,5
39,7
40,0
41,1
42,8
43,1
44,0
45,6
46,3
47,2
48,5
49,8
50,3
51,2
52,5
53,4
54,8
55,1
56,8
57,7
58,5
59,6
60,0
61,1
62,1
63,2
64,8
65,9
66,8
67,6
68,8
69,2
70,5
71,4
72,9
73,6
74,7
75,0
76,1
77,1
78,4
79,1
80,7
81,9
82,2
83,0
84,9
85,0
86,5
87,4
88,6
89,1
90,1
91,1
92,7
93,9
94,5
95,5
96,0
97,0
98,4
99,0
100,3
101,5
102,8
103,6
104,5
105,7
106,2
107,7
108,4
109,2
110,8
111,6
112,2
113,8
114,5
115,1
116,8
117,7
118,3
119,9
120,4
121,9
122,3
123,7
124,0
125,0
126,4
127,9
128,1
129,2
130,6
131,4
132,9
133,8
134,7
135,6
136,9
137,0
138,2
139,7
140,8
141,3
142,8
143,7
144,5
145,6
146,2
147,0
148,3
149,5
150,3
151,9
152,6
153,3
154,3
155,8
156,0
157,0
158,7
159,5
160,6
161,4
162,7
163,3
164,3
165,9
166,7
167,1
168,1
169,3
170,5
171,5
172,1
173,1
174,8
175,5
176,1
177,8
178,7
179,2
180,3
181,9
182,9
183,7
184,6
185,5
186,8
187,2
188,9
189,9
190,1
191,1
192,1
193,1
194,3
195,7
196,4
197,6
198,2
199,3
200,9
201,7
202,1
203,1
204,0
205,3
206,4
207,3
208,0
209,7
210,9
211,9
212,3
213,4
214,6
215,5
216,7
217,5
218,0
219,6
220,4
221,0
222,3
223,6
224,7
225,6
226,3
227,0
228,7
229,8
230,6
231,5
232,0
233,6
234,1
235,5
236,0
237,9
238,8
239,1
240,9
241,3
242,8
243,0
244,1
245,7
246,7
247,1
248,2
249,7
250,7
251,8
252,2
253,1
254,5
255,2
256,9
257,6
258,0
259,8
260,8
261,4
262,8
263,6
264,5
265,3
266,5
267,1
268,1
269,2
270,1
271,9
272,9
273,9
274,7
275,5
276,4
277,7
278,4
279,0
280,7
281,1
282,1
283,0
284,5
285,0
286,2
287,7
288,4
289,6
290,4
291,8
292,0
293,8
294,5
295,6
296,7
297,6
298,2
299,7
300,3
301,4
302,3
303,8
304,6
305,8
306,7
307,1
308,4
309,2
310,5
311,7
312,5
313,5
314,1
315,8
316,7
317,2
318,1
319,4
320,3
321,2
322,1
323,8
324,2
325,3
326,7
327,8
328,2
329,5
330,0
331,5
332,3
333,0
334,6
335,7
336,5
337,6
338,7
339,8
340,7
341,7
342,5
343,2
344,3
345,7
346,4
347,3
348,9
349,5
350,0
351,7
352,1
353,4
354,1
355,2
356,4
357,4
358,9
359,4
360,6
361,5
362,7
363,4
364,7
365,6
366,8
367,9
368,4
369,4
370,3
371,8
372,0
373,1
374,1
375,9
376,8
377,7
378,8
379,0
380,5
381,4
382,1
383,7
384,4
385,7
386,9
387,5
388,7
389,6
390,9
391,6
392,1
393,1
394,3
395,8
396,2
397,5
398,2
399,7
400,1
401,4
402,0
403,4
404,9
405,1
406,9
407,2
408,3
409,4
410,5
411,3
412,1
413,5
414,1
415,9
416,6
417,0
418,6
419,4
420,6
421,3
422,6
423,3
424,1
425,4
426,3
427,2
428,6
429,2
430,1
431,5
432,2
433,1
434,1
435,6
436,8
437,2
438,6
439,0
440,3
441,7
442,9
443,2
444,4
445,4
446,1
447,7
448,7
449,6
450,8
451,2
452,6
453,6
454,7
455,1
456,4
457,1
458,3
459,8
460,2
461,6
462,6
463,6
464,0
465,3
466,6
467,4
468,6
469,0
470,2
471,2
472,9
473,6
474,5
475,8
476,3
477,4
478,0
479,6
480,4
481,1
482,5
483,4
484,0
485,3
486,1
487,2
488,3
489,8
490,0
491,9
492,4
493,6
494,7
495,1
496,9
497,3
498,5
499,1
500,9
501,6
502,6
503,7
504,5
505,7
506,2
507,7
508,9
509,8
510,5
511,8
512,9
513,2
514,2
515,6
516,5
517,1
518,3
519,7
520,7
521,1
522,3
523,5
524,1
525,0
526,5
527,8
528,3
529,7
530,1
531,7
532,2
533,9
534,2
535,3
536,6
537,6
538,2
539,4
540,9
541,9
542,8
543,4
544,3
545,4
546,1
547,2
548,1
549,7
550,2
551,7
552,0
553,1
554,6
555,6
556,5
557,4
558,5
559,1
560,6
561,1
562,1
563,1
564,6
565,8
566,3
567,4
568,4
569,5
570,2
571,3
572,1
573,5
574,1
575,1
576,2
577,7
578,2
579,2
580,2
581,1
582,9
583,9
584,6
585,8
586,2
587,5
588,6
589,6
590,5
591,5
592,6
593,2
594,4
595,8
596,5
597,5
598,3
599,3
600,7
601,4
602,3
603,9
604,7
605,4
606,6
607,8
608,3
609,5
610,4
611,7
612,8
613,7
614,1
615,9
616,4
617,0
618,2
619,8
620,2
621,2
622,0
623,3
624,5
625,3
626,6
627,5
628,2
629,1
630,2
631,9
632,5
633,1
634,3
635,7
636,1
637,9
638,7
639,2
640,6
641,3
642,7
643,7
644,3
645,2
646,6
647,9
648,7
649,4
650,0
651,6
652,5
653,3
654,0
655,6
656,4
657,3
658,6
659,4
660,6
661,1
662,8
663,2
664,6
665,2
666,1
667,6
668,4
669,6
670,9
671,1
672,3
673,0
674,9
675,5
676,8
677,8
678,8
679,5
680,5
681,4
682,1
683,5
684,4
685,1
686,6
687,5
688,7
689,1
690,1
691,1
692,8
693,7
694,1
695,9
696,8
697,5
698,3
699,4
700,6
701,3
702,0
703,3
704,9
705,4
706,4
707,5
708,2
709,0
710,5
711,9
712,6
713,8
714,8
715,7
716,1
717,9
718,1
719,7
720,9
721,9
722,4
723,3
724,1
725,7
726,3
727,2
728,4
729,3
730,7
731,4
732,9
733,2
734,5
735,4
736,4
737,6
738,9
739,3
740,8
741,0
742,0
743,9
744,0
745,6
746,5
747,5
748,2
749,1
750,2
751,6
752,8
753,0
754,5
755,3
756,3
757,5
758,9
759,5
760,4
761,9
762,4
763,4
764,5
765,9
766,1
767,9
768,8
769,8
770,2
771,1
772,4
773,1
774,0
775,0
776,4
777,3
778,5
779,2
780,4
781,1
782,9
783,4
784,5
785,8
786,6
787,5
788,6
789,0
790,6
791,9
792,8
793,4
794,1
795,3
796,9
797,9
798,9
799,9
800,6
801,1
802,5
803,2
804,5
805,7
806,1
807,7
808,3
809,0
810,0
811,9
812,6
813,5
814,8
815,6
816,0
817,8
818,8
819,7
820,2
821,2
822,2
823,1
824,7
825,4
826,5
827,8
828,7
829,8
830,3
831,2
832,6
833,5
834,6
835,1
836,7
837,7
838,6
839,0
840,9
841,1
842,2
843,8
844,4
845,3
846,0
847,5
848,6
849,1
850,2
851,1
852,2
853,1
854,1
855,8
856,4
857,0
858,2
859,8
860,6
861,3
862,0
863,4
864,6
865,9
866,7
867,3
868,4
869,3
870,1
871,8
872,5
873,0
874,0
875,5
876,2
877,3
878,6
879,2
880,1
881,7
882,1
883,9
884,6
885,0
886,2
887,7
888,5
889,2
890,3
891,4
892,9
893,4
894,3
895,8
896,6
897,3
898,4
899,2
900,6
901,3
902,5
903,6
904,8
905,8
906,2
907,4
908,0
909,1
910,3
911,4
912,9
913,2
914,4
915,5
916,8
917,6
918,8
919,8
920,2
921,8
922,3
923,6
924,1
925,2
926,2
927,2
928,9
929,9
930,3
931,3
932,4
933,5
934,8
935,7
936,8
937,3
938,3
939,8
940,5
941,0
942,6
943,8
944,7
945,6
946,0
947,2
948,4
949,6
950,0
951,8
952,5
953,0
954,6
955,0
956,2
957,8
958,1
959,7
960,4
961,5
962,0
963,4
964,6
965,3
966,3
967,4
968,1
969,8
970,8
971,8
972,0
973,0
974,0
975,7
976,2
977,4
978,1
979,0
